"id","turno","fecha","tipo_proc","fsd","fecha_sent","num_sent","modo","sexo","edad","ant","sit_esp","tipo_del","otros_del","tent","agrav","tipo_del2","otros2","tent_2","agrv2","tipo_del3","otr_del3","tent_3","agrav3","inf_adicional","multa",monto_a,monto_m,monto_d
"3395","10","01/08/2015","2","03/17/2016","09/29/2016","166","1","1","28","2","-1","19","APROPIACION DE COSA HABIDA POR ERROR O CASO FORTUITO","0","-1","-1","Sin dato","0","-1","-1","Sin dato","0","-1","PENA 30 UR","30UR",0,0,0
"3395","10","01/08/2015","2","03/17/2016","09/29/2016","166","1","1","18","3","-1","20","APROPIACION DE COSA HABIDA POR ERROR O CASO FORTUITO","0","-1","-1","Sin dato","0","-1","-1","Sin dato","0","-1","PENA 25 UR","25UR",0,0,0
"3395","10","01/08/2015","2","03/17/2016","09/29/2016","166","1","1","19","1","-1","19","APROPIACION DE COSA HABIDA POR ERROR O CASO FORTUITO","0","-1","-1","Sin dato","0","-1","-1","Sin dato","0","-1","PENA 25 UR","25UR",0,0,0
"3438","10","07/09/2015","2","03/17/2016","05/20/2016","83","1","1","26","1","-1","19","APROPIACION DE COSA PERDIDA","0","-1","-1","Sin dato","0","-1","-1","Sin dato","0","-1","PENA 22 UR","22UR",0,0,0
"3438","10","07/09/2015","2","03/17/2016","05/20/2016","83","1","1","26","1","-1","19","APROPIACION DE COSA PERDIDA","0","-1","-1","Sin dato","0","-1","-1","Sin dato","0","-1","MULTA 22 UR","22UR",0,0,0
"3394","10","01/08/2015","3","03/29/2016","05/24/2016","85","1","1","21","3","-1","19","DA�?O","0","2","-1","Sin dato","0","-1","-1","Sin dato","0","-1","MEDIDA CAUTELAR CUTATIVA (TRATAMIENTO PSIQUIATRICO CON INTERNACION SIN LIMITE MINIMO NI MAXIMO)","Sin dato",0,0,0
"3412","10","02/09/2015","3","05/05/2016","06/21/2016","99","1","1","21","1","-1","5","Sin dato","0","-1","-1","Sin dato","0","-1","-1","Sin dato","0","-1","MEDIDA CAUTELAR CURATIVA (TRATAMIENTO PSIQUIATRICO SIN MINIMO NI MAXIMO)","Sin dato",0,0,0
"3424","10","05/09/2015","3","05/17/2016","06/21/2016","104","1","1","36","2","-1","1","Sin dato","0","2","-1","Sin dato","0","-1","-1","Sin dato","0","-1","MEDIDA CAUTELAR CURATIVA (TRATAMIENTO PSIQUIATRICO SIN MINIMO NI MAXIMO)","Sin dato",0,0,0
"3405","10","02/09/2015","1","01/06/2016","03/08/2016","128","1","1","28","1","-1","5","Sin dato","0","-1","14","Sin dato","0","-1","-1","Sin dato","0","-1","MEDIDA CAUTELAR CURATIVA (TRATAMIENTO PSIQUIATRICO SIN LIMITE MINIMO NI MAXIMO)","Sin dato",0,0,0
"3394","10","01/08/2015","3","03/29/2016","05/24/2016","85","1","1","21","3","4","19","DA�?O","0","2","-1","Sin dato","0","-1","-1","Sin dato","0","-1","MEDIDA CAUTELAR CURATIVA (INTERNACION)","Sin dato",0,0,0
